user_id,subscribe_count,membership_count
1436476220137517056,241,0
1399334978807271427,295,0
227492857,999,49
4776380363,462,2
604943966,7,0
445754812,8,0
1019341022827024384,5,1
1203323317,1,0
2977348702,12,13
1078728242675269632,147,0
925114806251802624,1000,3
17161050,13,1
830014045658812417,1,0
1298993684046680070,123,1
53936897,991,203
93354926,947,96
50993731,17,774
2350182300,5,20
247332938,12,56
14352430,81,547
164386441,926,434
2670402421,7,60
735191785,20,183
1699871916,7,0
2176525802,31,11
335538600,1,398
121300501,20,86
44474920,5,392
1519055582,8,14
42506440,730,19
859665235,7,356
1379682277,1,0
740365008,40,17
1423435571133779968,1000,0
533886512,8,10
69017389,998,163
148559999,7,135
1382004301984362496,18,6
1178788188011339776,35,0
1412997982186844160,10,0
4243206739,8,2
3782156306,15,31
310273490,4,2
779451,22,624
288894265,12,8
408092457,10,39
1367363669189795842,23,7
751789089700077568,4,0
2570836322,6,23
1283822688524554240,20,5
17736967,38,4
1441487286483525634,6,44
631770998,11,11
16620841,1,0
209274125,12,26
1378666119913857025,6,4
821721555981963268,8,4
1629891422,29,13
1335043121265172481,106,0
1198922167318122496,287,1
1349076186467508228,24,1
266518490,1000,2
23347826,30,0
913589067736059904,99,4
949142600899903488,14,1
1179274145709752320,21,2
2933899527,9,0
1450383729407537152,19,0
2248398172,68,0
1431556516033798146,56,0
1365487108241113089,9,1
1365748983516299270,22,0
1367603084512395265,48,0
1398919287142764547,36,9
1415741709263294467,3,0
1368276403683291143,3,0
1395347096580988930,1000,10
1398738446429130763,31,0
1415415996966260738,83,2
1363921185482883074,21,2
1433708729166352384,101,0
1432773321016463362,64,0
1717079064,37,0
1397718201161551873,222,2
1313848051937800195,401,0
1427699157620379650,198,0
1436958923970461697,36,2
1458089954303778818,1,0
1326653123067322369,3,0
1425634285848076293,2,0
1325833922383654913,3,0
1443997158131347457,5,2
1449762145453940739,3,0
1441999732302172160,15,1
226864230,15,0
1315267510682476546,6,0
1426447062678347783,4,0
866041710748585984,13,71
739795227658100737,1,0
1208311956874158081,7,0
893891810568884225,10,5
4840640763,14,35
1415332575934095362,40,6
1409479110636838916,11,2
937558397989335040,127,2
3653871142,55,1
32902648,12,9
295693413,12,0
4025618243,48,20
4219046133,240,0
486798850,10,0
807187,30,197
51321492,12,20
1364714424217567234,24,0
1367746332027465730,4,0
1445287223029604354,7,0
1365709298613899264,32,0
3314622593,4,0
1357690237380661248,20,0
2798188582,571,0
1291015010869817345,10,0
1392353948284162048,92,3
1302270789530644481,66,2
1207943803337891840,53,2
1080013086629810176,9,0
1577899160,76,6
1358983500263751680,21,0
1416765316831526915,9,0
249683742,68,7
1052860927958245377,92,1
703688459760898048,20,0
1435874708197715970,8,0
1301196159415988224,34,0
1444711730043490310,5,0
1444201910291009536,72,3
4201124843,85,1
1454019696408285185,55,0
996853284429336576,114,0
1023932909961576448,70,1
1354113897557590023,427,0
58499436,1,0
1447878377801715721,109,0
1572631,37,18
1075913251924467712,1,0
1176624759208955905,5,16
18511698,9,4
1430118945827270694,257,10
187680232,999,5
1392206823202164737,539,4
1432009219411169291,91,0
1431123949765677057,129,0
878125202294456320,195,1
1224793652968353792,38,9
1211772892477657088,51,12
1365228792,64,0
722514906155618304,128,1
1421150099888087041,1,0
707916023,75,3
1195646957668184070,12,2
1236154144324534272,1,0
4118132300,3,8
3010026786,3,10
27703315,6,11
734228556910186498,1,24
17474951,6,28
75362354,11,10
1308989220602642433,1,0
2183863662,35,14
1585173372,14,4
635591553,51,68
1201567101758033920,6,4
1289668419818668032,23,8
158458753,56,5
749553807202193409,13,4
1020246728619057153,29,0
1324043728659513344,124,3
2483323158,10,2
1252347311755112450,22,16
422053158,16,39
931300190782332928,33,4
89094753,21,2
403519043,12,1
1327560577070338049,45,2
24456060,139,94
1170864175079247873,13,0
1374140628016234498,8,4
1353104850477703169,4,0
1440321227608920077,84,5
1347460027636879361,111,5
1449501231148253187,8,3
207164294,14,0
1298252483383316485,24,5
1454595862924087299,86,17
1371642665008197633,53,2
1428131244982771712,40,13
1428057595449946114,6,0
39673716,136,601
384468124,10,27
1312799099087851521,43,10
185746968,9,20
633652108,434,25
1294995914940129280,37,8
15935333,22,866
502400573,13,22
881476963810115584,1000,53
770319650672480257,13,10
1214504047421665280,19,8
268149335,22,36
4881377359,24,4
1178443331841462272,11,4
838796833933623297,28,0
1241990259774296064,19,0
1411698795310690305,133,0
3369888724,502,121
1443339344606023680,13,0
1148989000750964740,17,2
2678928462,15,0
1419055753005092875,148,0
1458181465871691786,6,0
1428519052289495042,3,0
62985876,53,5
1407706755782483972,306,0
108696069,7,2
1427424527051640833,8,0
2474203825,37,2
1209517929160683521,39,7
1413566953302732802,15,0
1423005730806894593,1,0
1111093625096536065,1,0
1164428928993378304,20,0
1419237645956395010,120,0
1410948032938586113,30,0
1415680543975383040,9,1
1362473093172764673,4,0
1457030428058136581,5,0
1436727865119285248,5,0
1389562365998505985,4,0
1431618613438554112,18,6
1329512701652066304,4,0
4894172889,9,0
1173666183930728450,5,0
717737616683216897,45,0
1316809838823796736,3,0
1305496267603099648,7,0
1041650678580432898,51,0
1352308963530989571,6,1
1259201427685011459,3,0
1403445734997954563,15,0
778685846220255237,4,0
1441005882020663298,10,0
1424700313903280128,5,0
1429963010605412375,8,0
1426739608205684739,1,0
1363315704137736195,3,0
1416867220865572864,8,0
1448305630725423114,475,0
1341782758985707523,7,0
1429695575751016448,1,0
1368813207674974212,4,0
1347053445706993664,23,3
1330702098523107329,8,0
3462616953,6,0
791692078023663616,19,0
1428677425601388548,7,6
1186306093934415872,69,1
770267627520454656,33,0
1064575300611309568,3,0
4172492187,4,0
1436349218004815878,6,0
1401527850553970688,26,0
1446535537515499530,3,0
